Date,Open,High,Low,Close,Adj Close,Volume
2019-01-25,5.010000,5.070000,4.910000,4.930000,4.930000,3346500
2019-01-28,4.850000,5.000000,4.830000,4.900000,4.900000,2822800
2019-01-29,4.880000,4.945000,4.800000,4.820000,4.820000,2664200
2019-01-30,4.950000,5.010000,4.780000,4.870000,4.870000,5647300
2019-01-31,4.900000,5.080000,4.880000,4.930000,4.930000,3138200
2019-02-01,4.990000,5.100000,4.920000,5.040000,5.040000,2531100
2019-02-04,5.120000,5.230000,5.100000,5.130000,5.130000,3191000
2019-02-05,5.120000,5.200000,5.100000,5.110000,5.110000,3742300
2019-02-06,5.300000,5.300000,5.100000,5.150000,5.150000,15135000
2019-02-07,5.300000,5.470000,5.070000,5.140000,5.140000,13463900
2019-02-08,5.070000,5.350000,5.010000,5.320000,5.320000,7429300
2019-02-11,5.310000,5.530000,5.268000,5.490000,5.490000,6009900
2019-02-12,5.520000,5.720000,5.510000,5.700000,5.700000,5417600
2019-02-13,5.730000,5.740000,5.515000,5.610000,5.610000,4212700
2019-02-14,5.560000,5.880000,5.480000,5.790000,5.790000,4782100
2019-02-15,5.800000,5.990000,5.770000,5.990000,5.990000,4292200
2019-02-19,5.990000,6.070000,5.850000,6.010000,6.010000,3189100
2019-02-20,6.020000,6.130000,5.950000,6.100000,6.100000,2872200
2019-02-21,6.100000,6.175000,6.010000,6.070000,6.070000,2724900
2019-02-22,6.130000,6.250000,6.100000,6.210000,6.210000,2512400
2019-02-25,6.270000,6.430000,6.270000,6.320000,6.320000,4738100
2019-02-26,6.270000,6.410000,6.250000,6.290000,6.290000,3904700
2019-02-27,6.280000,6.340000,6.165000,6.230000,6.230000,3975600
2019-02-28,6.210000,6.250000,5.740000,5.830000,5.830000,7141300
2019-03-01,5.890000,6.120000,5.880000,6.080000,6.080000,5038800
2019-03-04,6.120000,6.130000,5.920000,6.000000,6.000000,2581100
2019-03-05,6.030000,6.030000,5.880000,6.010000,6.010000,2089300
2019-03-06,6.000000,6.230000,5.970000,6.150000,6.150000,3405400
2019-03-07,6.120000,6.155000,5.850000,5.910000,5.910000,4762000
2019-03-08,5.830000,6.020000,5.800000,6.000000,6.000000,3063400
2019-03-11,6.000000,6.260000,6.000000,6.250000,6.250000,4211900
2019-03-12,6.190000,6.290000,6.140000,6.240000,6.240000,2408900
2019-03-13,6.240000,6.250000,6.090000,6.140000,6.140000,2704800
2019-03-14,6.210000,6.380000,6.090000,6.140000,6.140000,2807400
2019-03-15,6.160000,6.350000,6.150000,6.260000,6.260000,4222400
2019-03-18,6.290000,6.340000,6.130000,6.250000,6.250000,2785300
2019-03-19,6.260000,6.345000,6.240000,6.260000,6.260000,1561200
2019-03-20,6.240000,6.540000,6.240000,6.440000,6.440000,3048500
2019-03-21,6.450000,6.540000,6.370000,6.530000,6.530000,1842300
2019-03-22,6.440000,6.610000,6.380000,6.440000,6.440000,2665300
2019-03-25,6.440000,6.560000,6.285000,6.540000,6.540000,2631300
2019-03-26,6.550000,6.680000,6.500000,6.570000,6.570000,1968400
2019-03-27,6.560000,6.620000,6.470000,6.590000,6.590000,2053100
2019-03-28,6.620000,6.700000,6.505000,6.520000,6.520000,2972300
2019-03-29,6.520000,6.570000,6.370000,6.500000,6.500000,4448700
2019-04-01,6.510000,6.575000,6.480000,6.560000,6.560000,1953900
2019-04-02,6.550000,6.680000,6.410000,6.630000,6.630000,2425800
2019-04-03,6.650000,6.790000,6.610000,6.660000,6.660000,2247100
2019-04-04,6.680000,6.719000,6.550000,6.670000,6.670000,1934600
2019-04-05,6.690000,6.750000,6.600000,6.680000,6.680000,2153600
2019-04-08,6.670000,6.740000,6.540000,6.580000,6.580000,2444000
2019-04-09,6.650000,6.740000,6.600000,6.660000,6.660000,3120200
2019-04-10,6.680000,6.895000,6.650000,6.730000,6.730000,4802900
2019-04-11,6.760000,6.780000,6.620000,6.770000,6.770000,2240500
2019-04-12,6.720000,6.830000,6.720000,6.750000,6.750000,1852000
2019-04-15,6.750000,6.860000,6.680000,6.700000,6.700000,1752600
2019-04-16,6.710000,6.750000,6.620000,6.710000,6.710000,1868200
2019-04-17,6.730000,6.730000,6.400000,6.430000,6.430000,3110300
2019-04-18,6.400000,6.470000,6.305000,6.380000,6.380000,2579300
2019-04-22,6.370000,6.450000,6.250000,6.280000,6.280000,2305500
2019-04-23,6.370000,6.400000,6.240000,6.360000,6.360000,2378000
2019-04-24,6.340000,6.415000,6.290000,6.330000,6.330000,1251200
2019-04-25,6.250000,6.290000,6.025000,6.050000,6.050000,2100300
2019-04-26,6.040000,6.140000,6.020000,6.070000,6.070000,1604900
2019-04-29,6.040000,6.145000,5.930000,5.980000,5.980000,2874600
2019-04-30,5.940000,6.030000,5.880000,5.910000,5.910000,3876100
2019-05-01,5.910000,5.985000,5.860000,5.860000,5.860000,10380500
2019-05-02,5.830000,5.920000,5.600000,5.870000,5.870000,8016000
2019-05-03,5.920000,6.030000,5.775000,6.030000,6.030000,4672100
2019-05-06,5.890000,6.170000,5.860000,6.140000,6.140000,3389400
2019-05-07,6.150000,6.320000,6.090000,6.200000,6.200000,4749700
2019-05-08,6.160000,6.380000,6.130000,6.340000,6.340000,5783100
2019-05-09,6.460000,6.880000,6.115000,6.670000,6.670000,18090600
2019-05-10,7.030000,7.150000,6.325000,6.410000,6.410000,15133000
2019-05-13,6.250000,6.670000,6.200000,6.630000,6.630000,9509400
2019-05-14,6.620000,7.430000,6.570000,7.380000,7.380000,12972100
2019-05-15,7.160000,7.645000,7.070000,7.550000,7.550000,12956500
2019-05-16,7.480000,7.530000,7.130000,7.240000,7.240000,8652900
2019-05-17,7.180000,7.350000,7.040000,7.060000,7.060000,6382500
2019-05-20,6.920000,7.185000,6.920000,7.080000,7.080000,4288800
2019-05-21,7.150000,7.330000,7.140000,7.270000,7.270000,2296200
2019-05-22,7.230000,7.300000,7.160000,7.250000,7.250000,2175500
2019-05-23,7.120000,7.210000,7.060000,7.150000,7.150000,2940900
2019-05-24,7.200000,7.265000,7.120000,7.200000,7.200000,1836000
2019-05-28,7.180000,7.190000,6.730000,6.780000,6.780000,4448100
2019-05-29,6.770000,6.810000,6.530000,6.680000,6.680000,5399200
2019-05-30,6.670000,6.713000,6.440000,6.440000,6.440000,2589200
2019-05-31,6.300000,6.440000,6.220000,6.300000,6.300000,2973700
2019-06-03,6.280000,6.380000,6.070000,6.120000,6.120000,4549000
2019-06-04,6.200000,6.310000,6.100000,6.140000,6.140000,4756900
2019-06-05,6.220000,6.285000,5.965000,6.080000,6.080000,4234200
2019-06-06,6.060000,6.110000,5.820000,5.930000,5.930000,4272500
2019-06-07,5.910000,5.980000,5.780000,5.840000,5.840000,3475300
2019-06-10,5.960000,6.080000,5.860000,5.920000,5.920000,4366700
2019-06-11,5.930000,6.060000,5.860000,6.020000,6.020000,2796700
2019-06-12,6.000000,6.030000,5.910000,6.000000,6.000000,1869500
2019-06-13,6.030000,6.150000,5.870000,5.880000,5.880000,2951500
2019-06-14,5.850000,5.950000,5.770000,5.770000,5.770000,2291900
2019-06-17,5.770000,5.920000,5.692000,5.770000,5.770000,2971100
2019-06-18,5.810000,5.990000,5.770000,5.940000,5.940000,2304500
2019-06-19,5.920000,6.065000,5.870000,5.970000,5.970000,1995500
2019-06-20,6.020000,6.050000,5.790000,5.850000,5.850000,3146500
2019-06-21,5.830000,5.900000,5.750000,5.850000,5.850000,1993800
2019-06-24,5.850000,5.900000,5.620000,5.720000,5.720000,3129200
2019-06-25,5.750000,5.865000,5.640000,5.670000,5.670000,2577400
2019-06-26,5.720000,5.800000,5.610000,5.620000,5.620000,2538500
2019-06-27,5.670000,5.670000,5.500000,5.520000,5.520000,3596700
2019-06-28,5.520000,5.595000,5.430000,5.460000,5.460000,5647600
2019-07-01,5.510000,5.530000,5.220000,5.380000,5.380000,5521500
2019-07-02,5.360000,5.440000,5.300000,5.380000,5.380000,2614300
2019-07-03,5.390000,5.580000,5.380000,5.440000,5.440000,1999600
2019-07-05,5.420000,5.635000,5.420000,5.550000,5.550000,2934100
2019-07-08,5.520000,5.640000,5.470000,5.590000,5.590000,3320500
2019-07-09,5.600000,5.770000,5.600000,5.640000,5.640000,3630700
2019-07-10,5.810000,5.950000,5.540000,5.620000,5.620000,4534600
2019-07-11,5.600000,5.645000,5.480000,5.570000,5.570000,3848100
2019-07-12,5.570000,5.590000,5.460000,5.480000,5.480000,3238800
2019-07-15,5.490000,5.540000,5.380000,5.510000,5.510000,2555500
2019-07-16,5.520000,5.540000,5.420000,5.460000,5.460000,2381300
2019-07-17,5.460000,5.480000,5.280000,5.310000,5.310000,2954200
2019-07-18,5.260000,5.310000,5.030000,5.050000,5.050000,4605200
2019-07-19,5.060000,5.225000,5.020000,5.030000,5.030000,3517600
2019-07-22,5.070000,5.180000,5.030000,5.110000,5.110000,2617900
2019-07-23,5.110000,5.200000,5.080000,5.160000,5.160000,4607300
2019-07-24,5.180000,5.240000,5.125000,5.220000,5.220000,2638700
2019-07-25,5.180000,5.430000,5.170000,5.400000,5.400000,5168500
2019-07-26,5.450000,5.450000,5.260000,5.400000,5.400000,3916700
2019-07-29,5.340000,5.380000,5.250000,5.360000,5.360000,3051600
2019-07-30,5.320000,5.420000,5.290000,5.400000,5.400000,2727600
2019-07-31,5.420000,5.590000,5.280000,5.290000,5.290000,4099300
2019-08-01,5.300000,5.350000,5.010000,5.030000,5.030000,7964600
2019-08-02,5.160000,5.190000,4.170000,4.390000,4.390000,13390900
2019-08-05,4.350000,4.420000,4.050000,4.270000,4.270000,8456400
2019-08-06,4.300000,4.420000,4.090000,4.300000,4.300000,10149600
2019-08-07,4.250000,4.630000,4.140000,4.410000,4.410000,10010400
2019-08-08,4.420000,4.580000,4.230000,4.450000,4.450000,9128400
2019-08-09,4.440000,4.580000,4.300000,4.310000,4.310000,3510200
2019-08-12,4.300000,4.300000,4.180000,4.250000,4.250000,3788300
2019-08-13,4.220000,4.310000,4.150000,4.210000,4.210000,3246100
2019-08-14,4.170000,4.180000,4.060000,4.070000,4.070000,2994800
2019-08-15,4.080000,4.110000,3.910000,3.980000,3.980000,4447800
2019-08-16,3.960000,4.040000,3.930000,4.010000,4.010000,3485700
2019-08-19,4.100000,4.120000,4.000000,4.010000,4.010000,2857100
2019-08-20,4.000000,4.070000,3.980000,4.060000,4.060000,3021000
2019-08-21,4.060000,4.240000,4.060000,4.120000,4.120000,5014800
2019-08-22,4.130000,4.270000,4.070000,4.200000,4.200000,2869000
2019-08-23,4.190000,4.210000,3.950000,3.960000,3.960000,3031300
2019-08-26,4.010000,4.070000,3.875000,3.960000,3.960000,3195300
2019-08-27,3.990000,3.990000,3.820000,3.870000,3.870000,3468700
2019-08-28,3.860000,3.930000,3.780000,3.900000,3.900000,1952200
2019-08-29,4.000000,4.000000,3.900000,3.930000,3.930000,2509500
2019-08-30,3.940000,3.960000,3.830000,3.870000,3.870000,2482700
2019-09-03,3.830000,3.850000,3.620000,3.820000,3.820000,6363500
2019-09-04,3.820000,3.960000,3.790000,3.910000,3.910000,4493700
2019-09-05,3.950000,4.120000,3.950000,4.090000,4.090000,3512200
2019-09-06,4.110000,4.150000,4.080000,4.120000,4.120000,2052100
2019-09-09,4.160000,4.455000,4.160000,4.360000,4.360000,5149400
2019-09-10,4.370000,4.730000,4.370000,4.620000,4.620000,5311600
2019-09-11,4.640000,4.730000,4.540000,4.670000,4.670000,3043000
2019-09-12,4.660000,4.680000,4.510000,4.560000,4.560000,2307500
2019-09-13,4.570000,4.650000,4.530000,4.560000,4.560000,2280800
2019-09-16,4.580000,4.765000,4.570000,4.640000,4.640000,2402100
2019-09-17,4.620000,4.620000,4.460000,4.570000,4.570000,2044100
2019-09-18,4.520000,4.620000,4.460000,4.520000,4.520000,2237600
2019-09-19,4.510000,4.630000,4.500000,4.560000,4.560000,2148700
2019-09-20,4.550000,4.680000,4.530000,4.660000,4.660000,2848800
2019-09-23,4.640000,4.855000,4.620000,4.770000,4.770000,2486700
2019-09-24,4.680000,4.720000,4.430000,4.470000,4.470000,3641800
2019-09-25,4.480000,4.700000,4.460000,4.620000,4.620000,2846200
2019-09-26,4.620000,4.790000,4.620000,4.680000,4.680000,2595500
2019-09-27,5.090000,5.530000,4.760000,5.025000,5.025000,13909900
2019-09-30,5.390000,5.430000,5.040000,5.185000,5.185000,10003500
2019-10-01,5.440000,5.790000,5.260000,5.280000,5.280000,10761800
2019-10-02,5.310000,5.330000,4.965000,5.130000,5.130000,5325500
